1;ENDUCLAQ
2;ENDUMAN
3;ENDUCLIM
4;ENDULV
5;ENDULV-CARAC-LVI-AV
6;ENDULV-CARAC-LVI_AR
7;ENDUVIB
8;CPVS-EUROPE
9;CPVS-CEI9
10;CPVS-HD
11;CPVS-GEX
12;CPVS-SUV-LIGHT
13;CPVS-SUV-STRONG
14;R1 G1 D2 F1 S1
15;R1 G1 D2 F2 S1
16;R1 GA D3 F1 S1
17;R1 G2 D2 F1 S1
18;R1 G2 D2 F2 S1
19;R1 G2 D3 F1 S1
20;R1 G2 D3 F2 S1
21;R1 G2 D3 F3 S1
22;R2 G2 D3 F2 S1
23;R3S G2 D3 F2 S1
24;R3S G2 D3 F3 S1
25;R3 G2 D3 F2 S1
26;R4 G2 D3 F2 S1
27;R5 G2 D3 F2 S1
