1;K1
2;K2
3;K3
4;K4
5;DA1
6;DA2
7;DA3
8;G1
9;G2
10;G3A
11;G3B
12;G4
13;G4F
14;1
15;2
16;3
17;DF1
18;DF2
19;DF3
20;NC
